Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price,Transmission(Speed)
Hyundai,Elite i20,2019,red,hatchback,24860.0,1,5,petrol,40,Kappa VTVT Petrol Engine,1197,Manual,81.86,117.0,18.6,BS V,699000,5
Hyundai,Grand i10,2016,grey,hatchback,20685.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,82.0,114.0,18.9,BS IV,510000,5
Maruti Suzuki,S-Presso,2021,red,hatchback,2163.0,1,5,petrol,27,K10B Petrol Engine,998,Manual,67.0,90.0,21.01,BS IV,512000,5
Toyota,Etios Liva,2018,white,hatchback,18170.0,1,5,petrol,45,"4-Cylinder 16V, DOHC",1197,Manual,79.0,104.0,18.16,BS V,658000,5
Honda,Brio,2012,blue,hatchback,66699.0,1,5,petrol,35,4 cylinder inline petrol,1198,Manual,86.8,109.0,19.4,BS III,369000,5
Maruti Suzuki,Ciaz,2020,silver,sedan,19958.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1499,Manual,103.25,138.0,20.65,BS IV,966000,5
Ford,EcoSport,2021,silver,suv,15924.0,1,5,petrol,52,Ti-VCT Petrol Engine,1496,Manual,120.69,149.0,15.9,BS IV,932000,5
Hyundai,Eon,2018,red,hatchback,24428.0,1,5,petrol,32,Kappa Engine,814,Manual,68.05,94.14,20.03,BS IV,388000,5
Toyota,Etios,2013,red,sedan,51187.0,1,5,petrol,45,4 cylinder petrol engine,1496,Manual,80.0,132.0,17.57,BS IV,489000,5
Toyota,Corolla Altis,2016,black,sedan,47767.0,1,5,petrol,55,"2ZR-FE, Gasoline, 4 cylinder inline",1798,Automatic,138.0,173.0,16.7,BS IV,926000,6
MG Motors,Hector,2020,maroon,suv,33433.0,1,5,petrol,60,FWD,1451,Automatic,141.0,250.0,13.96,BS IV,1709000,6
Maruti Suzuki,Ciaz,2020,white,sedan,40635.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1499,Manual,103.25,138.0,20.65,BS IV,1039000,5
MG Motors,Hector,2020,red,suv,25835.0,1,5,petrol,60,FWD,1451,Automatic,141.0,250.0,13.96,BS IV,1770000,6
Maruti Suzuki,Ciaz,2020,grey,sedan,30752.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1462,Automatic,103.25,138.0,20.0,BS IV,1163000,4
Honda,City,2020,red,sedan,16332.0,1,5,petrol,40,1.5L i-VTEC DOHC with VTC Petrol Engine,1498,Automatic,119.35,145.0,18.4,BS IV,1349000,6
Kia,Seltos,2020,orange,suv,20930.0,1,5,petrol,50,Smartstream G1.4 T-GDi,1353,Automatic,138.0,242.0,16.8,BS IV,1705000,7
Ford,Figo,2019,red,hatchback,14499.0,1,5,diesel,40,TDCi Diesel Engine,1499,Manual,98.96,215.0,24.4,BS V,739000,5
Hyundai,Verna,2014,grey,sedan,72009.0,1,5,diesel,43,Diesel Engine,1582,Automatic,126.0,260.0,17.0,BS III,600000,6
